experiment_id,model_family,base_model,features,serializer_name,split_type,seed,fold_id,max_length,epochs,learning_rate,batch_size,class_weight_power,label_smoothing,replay_mode,replay_size,macro_f1_raw,macro_f1_bias_tuned,macro_f1,weakest_classes,top_confusions,prediction_distribution,artifact_path,val_logits_path,test_logits_path,inference_time_sec,runtime_sec,artifact_size_mb,train_command,notes,decision
sparse_text_current_v1_dev,tfidf_linearsvc_oof_ensemble,,OOF transformer logits + fold-aware TF-IDF LinearSVC scores,,session_oof,,oof,,,,,,,,,0.722769,0.729494,0.729494,list_directory:0.4820;read_file:0.5573;grep_search:0.5994;web_search:0.5996;lint_or_typecheck:0.6105,"[[2723, ""grep_search"", ""read_file""], [1894, ""read_file"", ""list_directory""], [1467, ""grep_search"", ""list_directory""], [1422, ""read_file"", ""grep_search""], [1011, ""list_directory"", ""read_file""], [988, ""glob_pattern"", ""read_file""], [786, ""ask_user"", ""plan_task""], [766, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 4699, ""ask_user"": 2186, ""edit_file"": 11377, ""glob_pattern"": 3997, ""grep_search"": 7650, ""lint_or_typecheck"": 2176, ""list_directory"": 6858, ""plan_task"": 2937, ""read_file"": 10203, ""respond_only"": 5181, ""run_bash"": 4748, ""run_tests"": 4995, ""web_search"": 1509, ""write_file"": 1484}",experiments/artifacts/sparse_text_current_v1_dev_sparse_svc.json,experiments/logits/sparse_text_current_v1_dev_sparse_oof_logits.pt,,,,,,sparse text A/B: current_v1 on no-replay OOF,sparse svc oof ensemble diagnostic complete
sparse_text_state_v2_dev,tfidf_linearsvc_oof_ensemble,,OOF transformer logits + fold-aware TF-IDF LinearSVC scores,,session_oof,,oof,,,,,,,,,0.722769,0.726900,0.726900,list_directory:0.4750;read_file:0.5475;web_search:0.5913;grep_search:0.5997;lint_or_typecheck:0.6075,"[[2702, ""grep_search"", ""read_file""], [2012, ""read_file"", ""list_directory""], [1474, ""grep_search"", ""list_directory""], [1441, ""read_file"", ""grep_search""], [1028, ""list_directory"", ""read_file""], [994, ""glob_pattern"", ""read_file""], [780, ""ask_user"", ""plan_task""], [767, ""run_bash"", ""run_tests""]]","{""apply_patch"": 4689, ""ask_user"": 2191, ""edit_file"": 11390, ""glob_pattern"": 3993, ""grep_search"": 7678, ""lint_or_typecheck"": 2148, ""list_directory"": 6969, ""plan_task"": 2918, ""read_file"": 10072, ""respond_only"": 5181, ""run_bash"": 4746, ""run_tests"": 5019, ""web_search"": 1524, ""write_file"": 1482}",experiments/artifacts/sparse_text_state_v2_dev_sparse_svc.json,experiments/logits/sparse_text_state_v2_dev_sparse_oof_logits.pt,,,,,,sparse text A/B: state_v2 on no-replay OOF,sparse svc oof ensemble diagnostic complete
20260702_082600_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_P1-OOF-fold0-focal-replay-len192-5ep-best-epoch,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold0_of3,42,0/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.723298,,0.723298,list_directory:0.4557;read_file:0.5489;web_search:0.5821;ask_user:0.5991;grep_search:0.6094,"[[764, ""grep_search"", ""read_file""], [644, ""read_file"", ""grep_search""], [543, ""read_file"", ""list_directory""], [421, ""grep_search"", ""list_directory""], [349, ""list_directory"", ""read_file""], [300, ""glob_pattern"", ""read_file""], [265, ""ask_user"", ""plan_task""], [265, ""run_bash"", ""run_tests""]]","{""apply_patch"": 1686, ""ask_user"": 738, ""edit_file"": 3665, ""glob_pattern"": 1414, ""grep_search"": 3053, ""lint_or_typecheck"": 830, ""list_directory"": 1976, ""plan_task"": 939, ""read_file"": 3137, ""respond_only"": 1729, ""run_bash"": 1528, ""run_tests"": 1605, ""web_search"": 538, ""write_file"": 496}",,experiments/logits/20260702_082600_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_P1-OOF-fold0-focal-replay-len192-5ep-best-epoch_val_logits.pt,,,3110.330,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 0 --notes 'P1 OOF fold0: focal+replay len192 5ep best-epoch',P1 OOF fold0: focal+replay len192 5ep best-epoch,oof fold complete; aggregate before decision
20260702_091750_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_P1-OOF-fold1,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold1_of3,42,1/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.731395,,0.731395,list_directory:0.4363;read_file:0.5516;grep_search:0.5952;ask_user:0.6176;lint_or_typecheck:0.6385,"[[959, ""grep_search"", ""read_file""], [538, ""read_file"", ""grep_search""], [467, ""read_file"", ""list_directory""], [454, ""list_directory"", ""read_file""], [345, ""grep_search"", ""list_directory""], [335, ""glob_pattern"", ""read_file""], [229, ""list_directory"", ""grep_search""], [224, ""ask_user"", ""plan_task""]]","{""apply_patch"": 1749, ""ask_user"": 813, ""edit_file"": 3598, ""glob_pattern"": 1520, ""grep_search"": 2751, ""lint_or_typecheck"": 893, ""list_directory"": 1674, ""plan_task"": 849, ""read_file"": 3618, ""respond_only"": 1726, ""run_bash"": 1543, ""run_tests"": 1537, ""web_search"": 564, ""write_file"": 498}",,experiments/logits/20260702_091750_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_P1-OOF-fold1_val_logits.pt,,,3106.743,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 1 --notes 'P1 OOF fold1',P1 OOF fold1,oof fold complete; aggregate before decision
20260702_101002_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_P1-OOF-fold2,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold2_of3,42,2/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.733906,,0.733906,list_directory:0.4400;read_file:0.5389;grep_search:0.6088;ask_user:0.6113;glob_pattern:0.6313,"[[845, ""grep_search"", ""read_file""], [624, ""read_file"", ""grep_search""], [530, ""read_file"", ""list_directory""], [474, ""list_directory"", ""read_file""], [377, ""grep_search"", ""list_directory""], [318, ""glob_pattern"", ""read_file""], [285, ""ask_user"", ""plan_task""], [232, ""run_bash"", ""run_tests""]]","{""apply_patch"": 1694, ""ask_user"": 749, ""edit_file"": 3634, ""glob_pattern"": 1385, ""grep_search"": 2934, ""lint_or_typecheck"": 866, ""list_directory"": 1839, ""plan_task"": 953, ""read_file"": 3413, ""respond_only"": 1727, ""run_bash"": 1555, ""run_tests"": 1554, ""web_search"": 530, ""write_file"": 500}",,experiments/logits/20260702_101002_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_P1-OOF-fold2_val_logits.pt,,,3111.954,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 2 --notes 'P1 OOF fold2',P1 OOF fold2,oof fold complete; aggregate before decision
oof_focal_replay_p1,torch_gpu_transformer_oof,,serialized prompt/action/workspace text,,session_oof,,oof,,,,,,,,,0.729590,0.735002,0.735002,list_directory:0.4543;read_file:0.5615;grep_search:0.5962;ask_user:0.6194;lint_or_typecheck:0.6278,"[[3010, ""grep_search"", ""read_file""], [1754, ""read_file"", ""list_directory""], [1301, ""list_directory"", ""read_file""], [1297, ""grep_search"", ""list_directory""], [1249, ""read_file"", ""grep_search""], [1105, ""glob_pattern"", ""read_file""], [860, ""ask_user"", ""plan_task""], [778, ""run_bash"", ""run_tests""]]","{""apply_patch"": 4864, ""ask_user"": 2388, ""edit_file"": 11187, ""glob_pattern"": 3959, ""grep_search"": 7368, ""lint_or_typecheck"": 2005, ""list_directory"": 6140, ""plan_task"": 3024, ""read_file"": 11226, ""respond_only"": 5178, ""run_bash"": 4804, ""run_tests"": 5120, ""web_search"": 1260, ""write_file"": 1477}",,experiments/logits/20260702_082600_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_P1-OOF-fold0-focal-replay-len192-5ep-best-epoch_val_logits.pt;experiments/logits/20260702_091750_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_P1-OOF-fold1_val_logits.pt;experiments/logits/20260702_101002_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_P1-OOF-fold2_val_logits.pt,,,,,,P1 aggregate: focal+replay best-epoch 3-fold,oof aggregate complete
oof_rules_p1,torch_gpu_transformer_oof_rule_boost,,OOF logits + deterministic sample/logit rule boosts,,session_oof,,oof,,,,,,,,,0.735002,0.741554,0.741554,list_directory:0.4545;read_file:0.5615;grep_search:0.5962;lint_or_typecheck:0.6346;glob_pattern:0.6420,"[[3010, ""grep_search"", ""read_file""], [1753, ""read_file"", ""list_directory""], [1301, ""list_directory"", ""read_file""], [1296, ""grep_search"", ""list_directory""], [1249, ""read_file"", ""grep_search""], [1105, ""glob_pattern"", ""read_file""], [738, ""ask_user"", ""plan_task""], [677, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 4864, ""ask_user"": 2555, ""edit_file"": 11187, ""glob_pattern"": 3959, ""grep_search"": 7368, ""lint_or_typecheck"": 2082, ""list_directory"": 6136, ""plan_task"": 2852, ""read_file"": 11226, ""respond_only"": 5178, ""run_bash"": 5055, ""run_tests"": 4790, ""web_search"": 1272, ""write_file"": 1476}",experiments/artifacts/oof_rules_p1_rule_boosts.json,experiments/logits/20260702_082600_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_P1-OOF-fold0-focal-replay-len192-5ep-best-epoch_val_logits.pt;experiments/logits/20260702_091750_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_P1-OOF-fold1_val_logits.pt;experiments/logits/20260702_101002_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_P1-OOF-fold2_val_logits.pt,,,,,,P2 rules on P1 focal+replay OOF,rule boost diagnostic complete
sparse_p1,tfidf_linearsvc_oof_ensemble,,OOF transformer logits + fold-aware TF-IDF LinearSVC scores,,session_oof,,oof,,,,,,,,,0.741554,0.743218,0.743218,list_directory:0.4705;read_file:0.5588;grep_search:0.6065;lint_or_typecheck:0.6342;ask_user:0.6402,"[[2653, ""grep_search"", ""read_file""], [1689, ""read_file"", ""grep_search""], [1581, ""read_file"", ""list_directory""], [1228, ""grep_search"", ""list_directory""], [1175, ""list_directory"", ""read_file""], [1013, ""glob_pattern"", ""read_file""], [795, ""ask_user"", ""plan_task""], [658, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 4905, ""ask_user"": 2382, ""edit_file"": 11142, ""glob_pattern"": 3962, ""grep_search"": 8440, ""lint_or_typecheck"": 2034, ""list_directory"": 5899, ""plan_task"": 2948, ""read_file"": 10391, ""respond_only"": 5181, ""run_bash"": 5011, ""run_tests"": 4888, ""web_search"": 1341, ""write_file"": 1476}",experiments/artifacts/sparse_p1_sparse_svc.json,experiments/logits/sparse_p1_sparse_oof_logits.pt,,,,,,P2 sparse SVC on P1 OOF + rules,sparse svc oof ensemble diagnostic complete
20260702_111646_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed42-splitfix42,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,192,5,2e-05,16,0.5,0.02,last1,10000,0.736998,0.746271,0.746271,list_directory:0.4540;read_file:0.5601;grep_search:0.5998;glob_pattern:0.6208;ask_user:0.6546,"[[544, ""grep_search"", ""read_file""], [332, ""read_file"", ""grep_search""], [293, ""read_file"", ""list_directory""], [284, ""list_directory"", ""read_file""], [249, ""grep_search"", ""list_directory""], [226, ""glob_pattern"", ""read_file""], [176, ""ask_user"", ""plan_task""], [133, ""glob_pattern"", ""grep_search""]]","{""apply_patch"": 943, ""ask_user"": 477, ""edit_file"": 2231, ""glob_pattern"": 740, ""grep_search"": 1664, ""lint_or_typecheck"": 377, ""list_directory"": 1140, ""plan_task"": 644, ""read_file"": 2211, ""respond_only"": 1050, ""run_bash"": 994, ""run_tests"": 1001, ""web_search"": 225, ""write_file"": 304}",,experiments/logits/20260702_111646_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed42-splitfix42_val_logits.pt,,,3537.125,1077.025,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --tune-bias --save-split-model --output-dir soup_s42 --seed 42 --split-seed 42 --keep-threshold 0.0 --notes 'soup seed42 splitfix42',soup seed42 splitfix42,keep as GPU candidate
20260702_121611_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed43-splitfix42,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,43,,192,5,2e-05,16,0.5,0.02,last1,10000,0.740143,0.743936,0.743936,list_directory:0.4735;read_file:0.5591;grep_search:0.6045;glob_pattern:0.6254;lint_or_typecheck:0.6419,"[[495, ""grep_search"", ""read_file""], [339, ""read_file"", ""list_directory""], [324, ""read_file"", ""grep_search""], [267, ""grep_search"", ""list_directory""], [235, ""list_directory"", ""read_file""], [204, ""glob_pattern"", ""read_file""], [143, ""plan_task"", ""ask_user""], [143, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 933, ""ask_user"": 558, ""edit_file"": 2267, ""glob_pattern"": 794, ""grep_search"": 1643, ""lint_or_typecheck"": 453, ""list_directory"": 1268, ""plan_task"": 514, ""read_file"": 2032, ""respond_only"": 1053, ""run_bash"": 1002, ""run_tests"": 903, ""web_search"": 280, ""write_file"": 301}",,experiments/logits/20260702_121611_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed43-splitfix42_val_logits.pt,,,3542.470,1077.025,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --tune-bias --save-split-model --output-dir soup_s43 --seed 43 --split-seed 42 --keep-threshold 0.0 --notes 'soup seed43 splitfix42',soup seed43 splitfix42,keep as GPU candidate
20260702_131530_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed44-splitfix42,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,44,,192,5,2e-05,16,0.5,0.02,last1,10000,0.725632,0.732493,0.732493,list_directory:0.4802;web_search:0.5421;read_file:0.5580;grep_search:0.6010;glob_pattern:0.6188,"[[550, ""grep_search"", ""read_file""], [405, ""read_file"", ""list_directory""], [302, ""grep_search"", ""list_directory""], [246, ""read_file"", ""grep_search""], [236, ""glob_pattern"", ""read_file""], [211, ""list_directory"", ""read_file""], [165, ""glob_pattern"", ""list_directory""], [128, ""ask_user"", ""plan_task""]]","{""apply_patch"": 920, ""ask_user"": 464, ""edit_file"": 2264, ""glob_pattern"": 733, ""grep_search"": 1444, ""lint_or_typecheck"": 405, ""list_directory"": 1438, ""plan_task"": 556, ""read_file"": 2126, ""respond_only"": 1051, ""run_bash"": 1002, ""run_tests"": 957, ""web_search"": 335, ""write_file"": 306}",,experiments/logits/20260702_131530_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed44-splitfix42_val_logits.pt,,,3532.977,1077.025,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --tune-bias --save-split-model --output-dir soup_s44 --seed 44 --split-seed 42 --keep-threshold 0.0 --notes 'soup seed44 splitfix42',soup seed44 splitfix42,keep as GPU candidate
20260702_141914_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed43b-init42,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,43,,192,5,2e-05,16,0.5,0.02,last1,10000,0.718760,0.724926,0.724926,list_directory:0.4640;web_search:0.5478;read_file:0.5590;grep_search:0.6012;lint_or_typecheck:0.6169,"[[548, ""grep_search"", ""read_file""], [326, ""read_file"", ""list_directory""], [268, ""list_directory"", ""read_file""], [263, ""read_file"", ""grep_search""], [244, ""grep_search"", ""list_directory""], [227, ""glob_pattern"", ""read_file""], [155, ""run_bash"", ""run_tests""], [132, ""read_file"", ""glob_pattern""]]","{""apply_patch"": 940, ""ask_user"": 459, ""edit_file"": 2258, ""glob_pattern"": 876, ""grep_search"": 1496, ""lint_or_typecheck"": 489, ""list_directory"": 1174, ""plan_task"": 525, ""read_file"": 2190, ""respond_only"": 1055, ""run_bash"": 951, ""run_tests"": 930, ""web_search"": 358, ""write_file"": 300}",,experiments/logits/20260702_141914_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed43b-init42_val_logits.pt,,,3529.056,1077.025,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --tune-bias --save-split-model --output-dir soup_s43b --seed 43 --split-seed 42 --init-seed 42 --keep-threshold 0.0 --notes 'soup seed43b init42',soup seed43b init42,keep as GPU candidate
20260702_151840_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed44b-init42,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,44,,192,5,2e-05,16,0.5,0.02,last1,10000,0.740544,0.745077,0.745077,list_directory:0.5136;web_search:0.5842;grep_search:0.6115;read_file:0.6123;glob_pattern:0.6308,"[[568, ""grep_search"", ""read_file""], [328, ""read_file"", ""list_directory""], [287, ""grep_search"", ""list_directory""], [223, ""glob_pattern"", ""read_file""], [205, ""list_directory"", ""read_file""], [172, ""run_bash"", ""run_tests""], [161, ""glob_pattern"", ""list_directory""], [154, ""read_file"", ""grep_search""]]","{""apply_patch"": 964, ""ask_user"": 551, ""edit_file"": 2215, ""glob_pattern"": 813, ""grep_search"": 1291, ""lint_or_typecheck"": 373, ""list_directory"": 1365, ""plan_task"": 449, ""read_file"": 2288, ""respond_only"": 1050, ""run_bash"": 942, ""run_tests"": 1044, ""web_search"": 347, ""write_file"": 309}",,experiments/logits/20260702_151840_gpu_transformer_session_current_v1_len192_replay-last1_soup-seed44b-init42_val_logits.pt,,,3539.530,1077.025,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --select-best-epoch --tune-bias --save-split-model --output-dir soup_s44b --seed 44 --split-seed 42 --init-seed 42 --keep-threshold 0.0 --notes 'soup seed44b init42',soup seed44b init42,keep as GPU candidate
20260703_044240_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_E1-specialist-fold0-explore5,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold0_of3,42,0/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.120348,,0.120348,edit_file:0.0000;write_file:0.0000;apply_patch:0.0000;run_bash:0.0000;run_tests:0.0000,"[[1299, ""edit_file"", ""read_file""], [1055, ""edit_file"", ""grep_search""], [821, ""grep_search"", ""read_file""], [815, ""ask_user"", ""web_search""], [808, ""apply_patch"", ""grep_search""], [807, ""plan_task"", ""web_search""], [737, ""read_file"", ""list_directory""], [710, ""run_tests"", ""grep_search""]]","{""glob_pattern"": 2969, ""grep_search"": 6564, ""list_directory"": 3952, ""read_file"": 6378, ""web_search"": 3471}",,experiments/logits/20260703_044240_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_E1-specialist-fold0-explore5_val_logits.pt,,,1253.366,0.000,"train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --class-subset read_file,grep_search,list_directory,glob_pattern,web_search --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 0 --notes 'E1 specialist fold0 explore5'",E1 specialist fold0 explore5,oof fold complete; aggregate before decision
20260703_050337_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_E1-specialist-fold1-explore5,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold1_of3,42,1/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.125881,,0.125881,edit_file:0.0000;write_file:0.0000;apply_patch:0.0000;run_bash:0.0000;run_tests:0.0000,"[[1375, ""edit_file"", ""read_file""], [1203, ""edit_file"", ""grep_search""], [893, ""apply_patch"", ""grep_search""], [794, ""grep_search"", ""read_file""], [783, ""plan_task"", ""web_search""], [780, ""ask_user"", ""web_search""], [654, ""run_tests"", ""grep_search""], [624, ""edit_file"", ""glob_pattern""]]","{""glob_pattern"": 3069, ""grep_search"": 7014, ""list_directory"": 3832, ""read_file"": 6640, ""web_search"": 2778}",,experiments/logits/20260703_050337_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_E1-specialist-fold1-explore5_val_logits.pt,,,1251.732,0.000,"train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --class-subset read_file,grep_search,list_directory,glob_pattern,web_search --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 1 --notes 'E1 specialist fold1 explore5'",E1 specialist fold1 explore5,oof fold complete; aggregate before decision
20260703_054654_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_E1-specialist-fold2-explore5,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold2_of3,42,2/3,192,5,2e-05,16,0.5,0.02,last1,10000,0.122665,,0.122665,edit_file:0.0000;write_file:0.0000;apply_patch:0.0000;run_bash:0.0000;run_tests:0.0000,"[[1388, ""edit_file"", ""read_file""], [1214, ""edit_file"", ""grep_search""], [882, ""grep_search"", ""read_file""], [787, ""ask_user"", ""web_search""], [773, ""plan_task"", ""web_search""], [722, ""apply_patch"", ""grep_search""], [664, ""edit_file"", ""glob_pattern""], [657, ""run_tests"", ""grep_search""]]","{""glob_pattern"": 3169, ""grep_search"": 6801, ""list_directory"": 3303, ""read_file"": 7226, ""web_search"": 2834}",,experiments/logits/20260703_054654_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_E1-specialist-fold2-explore5_val_logits.pt,,,1268.516,0.000,"train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --class-subset read_file,grep_search,list_directory,glob_pattern,web_search --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 2 --notes 'E1 specialist fold2 explore5'",E1 specialist fold2 explore5,oof fold complete; aggregate before decision
oof_rules_p1_v2,torch_gpu_transformer_oof_rule_boost,,OOF logits + deterministic sample/logit rule boosts,,session_oof,,oof,,,,,,,,,0.735002,0.741554,0.741554,list_directory:0.4545;read_file:0.5615;grep_search:0.5962;lint_or_typecheck:0.6346;glob_pattern:0.6420,"[[3010, ""grep_search"", ""read_file""], [1753, ""read_file"", ""list_directory""], [1301, ""list_directory"", ""read_file""], [1296, ""grep_search"", ""list_directory""], [1249, ""read_file"", ""grep_search""], [1105, ""glob_pattern"", ""read_file""], [738, ""ask_user"", ""plan_task""], [677, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 4864, ""ask_user"": 2555, ""edit_file"": 11187, ""glob_pattern"": 3959, ""grep_search"": 7368, ""lint_or_typecheck"": 2082, ""list_directory"": 6136, ""plan_task"": 2852, ""read_file"": 11226, ""respond_only"": 5178, ""run_bash"": 5055, ""run_tests"": 4790, ""web_search"": 1272, ""write_file"": 1476}",experiments/artifacts/oof_rules_p1_v2_rule_boosts.json,experiments/logits/20260702_082600_gpu_transformer_session_oof_current_v1_len192_fold0-of3_replay-last1_P1-OOF-fold0-focal-replay-len192-5ep-best-epoch_val_logits.pt;experiments/logits/20260702_091750_gpu_transformer_session_oof_current_v1_len192_fold1-of3_replay-last1_P1-OOF-fold1_val_logits.pt;experiments/logits/20260702_101002_gpu_transformer_session_oof_current_v1_len192_fold2-of3_replay-last1_P1-OOF-fold2_val_logits.pt,,,,,,"E2: expanded features (test-path, question, last_user)",rule boost diagnostic complete
